,url,cena,rozmer,dispozice,lokace
0,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-tecovska/1112744524,8 300 Kč/měsíc,26 m²,1+kk,"Tečovská, Zlín - Malenovice"
1,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-j-a-bati/1042633804,Cena na vyžádání,31 m²,1+kk,"J. A. Bati, Zlín"
2,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lorencova/1472258636,18 700 Kč/měsíc,65 m²,2+kk,"Lorencova, Zlín"
3,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dlouha/1913504332,12 000 Kč/měsíc,56 m²,2+1,"Dlouhá, Zlín"
4,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vysoka/2008138316,9 000 Kč/měsíc,25 m²,1+1,"Vysoká, Zlín"
5,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-zahradni/3143836236,14 900 Kč/měsíc,21 m²,1+kk,"Zahradní, Zlín - Malenovice"
6,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-tyrsova/2728141388,16 000 Kč/měsíc,68 m²,3+1,"Tyršova, Zlín - Malenovice"
7,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/3600556620,25 000 Kč/měsíc,96 m²,2+kk,"Lešetín I, Zlín"
8,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-j-a-bati/4172448332,Cena na vyžádání,41 m²,1+kk,"J. A. Bati, Zlín"
9,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-beckovska/481043020,17 000 Kč/měsíc,68 m²,3+1,"Beckovská, Zlín"
10,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vetrna/987308620,10 000 Kč/měsíc,34 m²,1+1,"Větrná, Zlín"
11,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-dukelska/1356603980,14 000 Kč/měsíc,48 m²,2+1,"Dukelská, Zlín"
12,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kudlov-vaclavska/1963905612,10 000 Kč/měsíc,58 m²,2+1,"Václavská, Zlín - Kudlov"
13,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-podlesi-v/2323300940,11 500 Kč/měsíc,36 m²,1+1,"Podlesí V, Zlín"
14,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-budovatelska/2434540108,16 000 Kč/měsíc,64 m²,3+1,"Budovatelská, Zlín"
15,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-chelcickeho/722215500,15 900 Kč/měsíc,55 m²,2+1,"Chelčického, Zlín - Malenovice"
16,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-/420225612,18 000 Kč/měsíc,96 m²,3+1,Zlín
17,https://www.sreality.cz/detail/pronajem/byt/3+1/slusovice-slusovice-pod-veselou/1057759820,15 000 Kč/měsíc,115 m²,3+1,"Pod Veselou, Slušovice"
18,https://www.sreality.cz/detail/pronajem/byt/2+kk/frystak-frystak-komenskeho/1269887564,15 500 Kč/měsíc,57 m²,2+kk,"Komenského, Fryšták"
19,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-malenovice-trida-svobody/1570579020,20 690 Kč/měsíc,64 m²,2+kk,"třída Svobody, Zlín - Malenovice"
20,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-trida-svobody/2694652492,14 900 Kč/měsíc,37 m²,1+kk,"třída Svobody, Zlín - Malenovice"
21,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zarami/526201420,17 500 Kč/měsíc,60 m²,2+kk,"Zarámí, Zlín"
22,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3869057612,15 800 Kč/měsíc,44 m²,2+1,"Na Honech II, Zlín"
23,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-smetanova/1749557836,Cena na vyžádání,32 m²,1+kk,"Smetanova, Zlín"
24,https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/1204625996,14 000 Kč/měsíc,68 m²,2+1,"Havlíčkova, Otrokovice"
25,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-ceska/1698574924,10 400 Kč/měsíc,33 m²,1+1,"Česká, Zlín"
26,https://www.sreality.cz/detail/pronajem/byt/2+1/slusovice-slusovice-druzstevni/3678216780,9 000 Kč/měsíc,57 m²,2+1,"Družstevní, Slušovice"
27,https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-otrokovice-tr-spojencu/2033132108,12 000 Kč/měsíc,48 m²,2+kk,"tř. Spojenců, Otrokovice"
28,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-sadova/2004689484,18 500 Kč/měsíc,51 m²,2+kk,"Sadová, Zlín"
29,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-cihlarska/2523734604,16 500 Kč/měsíc,58 m²,2+1,"Cihlářská, Zlín"
30,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-lorencova/124592716,9 500 Kč/měsíc,28 m²,1+kk,"Lorencova, Zlín"
31,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-podlesi-ii/2862490188,12 000 Kč/měsíc,30 m²,1+kk,"Podlesí II, Zlín"
32,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-trida-tomase-bati/1735799372,9 000 Kč/měsíc,23 m²,1+kk,"třída Tomáše Bati, Zlín"
33,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-na-honech-ii/1418601036,18 500 Kč/měsíc,56 m²,2+kk,"Na Honech II, Zlín"
34,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/1093284428,12 800 Kč/měsíc,55 m²,2+kk,"L. Váchy, Zlín"
35,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-l-vachy/442118732,12 000 Kč/měsíc,50 m²,2+kk,"L. Váchy, Zlín"
36,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-pasecka/2460148300,13 500 Kč/měsíc,29 m²,1+kk,"Pasecká, Zlín"
37,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-kuty/3460969036,12 000 Kč/měsíc,29 m²,1+kk,"Kúty, Zlín"
38,https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-otrokovice-nam-3-kvetna/2405245516,17 500 Kč/měsíc,60 m²,2+kk,"nám. 3. května, Otrokovice"
39,https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-kvitkovice-/465510988,10 000 Kč/měsíc,45 m²,1+1,Otrokovice - Kvítkovice
40,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-prstne-l-vachy/267330124,16 500 Kč/měsíc,58 m²,2+1,"L. Váchy, Zlín - Prštné"
41,https://www.sreality.cz/detail/pronajem/byt/3+kk/napajedla-napajedla-masarykovo-namesti/638923340,13 000 Kč/měsíc,66 m²,3+kk,"Masarykovo náměstí, Napajedla"
42,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-dlouha/356459084,9 000 Kč/měsíc,36 m²,1+1,"Dlouhá, Zlín"
43,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-potoky/1788228172,11 500 Kč/měsíc,36 m²,1+1,"Potoky, Zlín"
44,https://www.sreality.cz/detail/pronajem/byt/1+1/otrokovice-otrokovice-nadrazni/1966023244,9 600 Kč/měsíc,38 m²,1+1,"Nádražní, Otrokovice"
45,https://www.sreality.cz/detail/pronajem/byt/atypicky/zlin-prstne-l-vachy/617361996,7 500 Kč/měsíc,19 m²,atypický,"L. Váchy, Zlín - Prštné"
46,https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2774475340,10 500 Kč/měsíc,21 m²,pokoje,"tř. Spojenců, Otrokovice"
47,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/968368716,12 000 Kč/měsíc,48 m²,2+1,"třída Svobody, Zlín - Malenovice"
48,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-zadni-luhy/4022870604,12 900 Kč/měsíc,44 m²,2+kk,"Zadní luhy, Zlín - Louky"
49,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-dlouha/4140311116,19 000 Kč/měsíc,110 m²,3+kk,"Dlouhá, Zlín"
50,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,13 500 Kč/měsíc,40 m²,1+kk,"Sadová, Zlín"
51,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/1776476748,17 900 Kč/měsíc,50 m²,2+kk,"Pasecká, Zlín"
52,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-pasecka/941744716,17 200 Kč/měsíc,48 m²,2+kk,"Pasecká, Zlín"
53,https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-priluky-pancava/1385484876,4 300 Kč/měsíc,18 m²,pokoje,"Pančava, Zlín - Příluky"
54,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-priluky-pancava/4211225164,9 900 Kč/měsíc,22 m²,1+kk,"Pančava, Zlín - Příluky"
55,https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/3613336140,8 500 Kč/měsíc,21 m²,pokoje,"tř. Spojenců, Otrokovice"
56,https://www.sreality.cz/detail/pronajem/byt/pokoj/otrokovice-otrokovice-tr-spojencu/2489262668,9 500 Kč/měsíc,21 m²,pokoje,"tř. Spojenců, Otrokovice"
57,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vejvanovska/1921827404,10 900 Kč/měsíc,18 m²,1+kk,"Vejvanovská, Zlín"
58,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/762589772,11 900 Kč/měsíc,20 m²,1+kk,"Štefánikova, Zlín"
59,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-trida-tomase-bati/1701323340,29 000 Kč/měsíc,95 m²,3+kk,"třída Tomáše Bati, Zlín"
60,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-slunecna/3220775500,12 500 Kč/měsíc,62 m²,2+1,"Slunečná, Zlín"
61,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-vetrna/2908299852,13 500 Kč/měsíc,35 m²,1+1,"Větrná, Zlín"
62,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-malenovice-chelcickeho/3883475532,19 000 Kč/měsíc,66 m²,3+1,"Chelčického, Zlín - Malenovice"
63,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-malenovice-zabrani/2390807116,20 000 Kč/měsíc,50 m²,2+kk,"Zabrání, Zlín - Malenovice"
64,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zalesna-ii/1758077516,16 000 Kč/měsíc,56 m²,2+kk,"Zálešná II, Zlín"
65,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/2294948428,16 000 Kč/měsíc,58 m²,2+kk,"Lešetín I, Zlín"
66,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-budovatelska/2822382156,15 500 Kč/měsíc,45 m²,2+1,"Budovatelská, Zlín"
67,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-havlickovo-nabrezi/2673484364,13 500 Kč/měsíc,58 m²,2+kk,"Havlíčkovo nábřeží, Zlín"
68,https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-slunecna/3986367052,21 000 Kč/měsíc,83 m²,4+1,"Slunečná, Zlín"
69,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-javorova/666317388,11 700 Kč/měsíc,28 m²,1+kk,"Javorová, Zlín"
70,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlutava-zlutava-/564843084,6 500 Kč/měsíc,26 m²,1+kk,Žlutava
71,https://www.sreality.cz/detail/pronajem/byt/3+kk/luhacovice-luhacovice-/1327178316,15 000 Kč/měsíc,62 m²,3+kk,Luhačovice
72,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-jilova/864301644,14 650 Kč/měsíc,76 m²,3+1,"Jílová, Zlín"
73,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-podlesi-i/3770954316,18 000 Kč/měsíc,68 m²,3+kk,"Podlesí I, Zlín"
74,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-priluky-pristav/926990924,20 000 Kč/měsíc,110 m²,3+kk,"Přístav, Zlín - Příluky"
75,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-sokolska/3267805772,14 000 Kč/měsíc,77 m²,3+kk,"Sokolská, Zlín"
76,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/1819554380,11 900 Kč/měsíc,30 m²,1+kk,"Štefánikova, Zlín"
77,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zelinova/3870634572,14 900 Kč/měsíc,49 m²,2+kk,"Zelinova, Zlín"
78,https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-prstne-/3370463820,6 500 Kč/měsíc,22 m²,pokoje,Zlín - Prštné
79,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-malenovice-bezrucova/1675965004,12 000 Kč/měsíc,35 m²,1+kk,"Bezručova, Zlín - Malenovice"
80,https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-/3041210956,8 000 Kč/měsíc,17 m²,pokoje,Zlín
81,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-podlesi-iii/1119236684,10 600 Kč/měsíc,45 m²,2+1,"Podlesí III, Zlín"
82,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-zelinova/1351365196,17 900 Kč/měsíc,48 m²,2+kk,"Zelinova, Zlín"
83,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-podlesi-iii/2115682892,14 000 Kč/měsíc,70 m²,3+1,"Podlesí III, Zlín"
84,https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-hlavni/3354866252,13 900 Kč/měsíc,56 m²,2+1,"Hlavní, Otrokovice"
85,https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/2230792780,13 000 Kč/měsíc,59 m²,2+1,"Havlíčkova, Otrokovice"
86,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-nabrezi/1293365836,12 150 Kč/měsíc,60 m²,2+1,"Nábřeží, Zlín"
87,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-hrncirska/123155020,17 000 Kč/měsíc,85 m²,3+1,"Hrnčířská, Zlín"
88,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-okruzni/2725720652,17 000 Kč/měsíc,67 m²,3+1,"Okružní, Zlín"
89,https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-smetanova/2759275084,18 700 Kč/měsíc,77 m²,3+1,"Smetanova, Otrokovice"
90,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,13 500 Kč/měsíc,45 m²,2+1,"Na Honech II, Zlín"
91,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-priluky-pancava/1213215308,16 000 Kč/měsíc,56 m²,2+kk,"Pančava, Zlín - Příluky"
92,https://www.sreality.cz/detail/pronajem/byt/2+1/napajedla-napajedla-/1949446732,14 000 Kč/měsíc,45 m²,2+1,Napajedla
93,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vejvanovska/2317496908,11 500 Kč/měsíc,28 m²,1+kk,"Vejvanovská, Zlín"
94,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vetrna/1763848780,8 500 Kč/měsíc,27 m²,1+kk,"Větrná, Zlín"
95,https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-kvitkovice-lidicka/3337826892,12 000 Kč/měsíc,56 m²,2+1,"Lidická, Otrokovice - Kvítkovice"
96,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-zabranci-i/2441949772,12 600 Kč/měsíc,45 m²,2+kk,"Zábrančí I, Zlín - Louky"
97,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-dily-ii/65876556,11 900 Kč/měsíc,60 m²,3+1,"Díly II, Zlín"
98,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-nivy-ii/205337164,16 500 Kč/měsíc,100 m²,3+1,"Nivy II, Zlín"
99,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-nivy-ii/490549836,16 000 Kč/měsíc,120 m²,2+1,"Nivy II, Zlín"
100,https://www.sreality.cz/detail/pronajem/byt/1+kk/luhacovice-luhacovice-leose-janacka/3640889932,12 000 Kč/měsíc,30 m²,1+kk,"Leoše Janáčka, Luhačovice"
101,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-trida-tomase-bati/3562877516,13 800 Kč/měsíc,60 m²,2+kk,"třída Tomáše Bati, Zlín"
102,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-kostelec-lesenska/2560504396,16 000 Kč/měsíc,75 m²,2+1,"Lešenská, Zlín - Kostelec"
103,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-smetanova/3062772300,20 000 Kč/měsíc,66 m²,2+kk,"Smetanova, Zlín"
104,https://www.sreality.cz/detail/pronajem/byt/2+1/otrokovice-otrokovice-nam-3-kvetna/697270860,13 700 Kč/měsíc,60 m²,2+1,"nám. 3. května, Otrokovice"
105,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-sevcovska/3316527692,11 500 Kč/měsíc,37 m²,1+1,"Ševcovská, Zlín"
106,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-jaroslavice-v-doline/889139788,7 000 Kč/měsíc,25 m²,1+kk,"V Dolině, Zlín - Jaroslavice"
107,https://www.sreality.cz/detail/pronajem/byt/atypicky/luhacovice-luhacovice-/1292841548,12 000 Kč/měsíc,35 m²,atypický,Luhačovice
108,https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-trida-tomase-bati/586756684,3 708 Kč/měsíc,114 m²,pokoje,"třída Tomáše Bati, Zlín"
109,https://www.sreality.cz/detail/pronajem/byt/1+kk/napajedla-napajedla-masarykovo-namesti/24588876,8 000 Kč/měsíc,34 m²,1+kk,"Masarykovo náměstí, Napajedla"
110,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-lucni/424227404,11 500 Kč/měsíc,56 m²,2+1,"Luční, Zlín"
111,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-lazy-iii/3314860620,8 000 Kč/měsíc,35 m²,1+1,"Lazy III, Zlín"
112,https://www.sreality.cz/detail/pronajem/byt/3+kk/zlin-zlin-na-honech-i/2939470412,25 000 Kč/měsíc,75 m²,3+kk,"Na Honech I, Zlín"
113,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-smetanova/1229308492,25 000 Kč/měsíc,111 m²,2+kk,"Smetanova, Zlín"
114,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-zlin-vodni/3263677004,12 000 Kč/měsíc,27 m²,1+kk,"Vodní, Zlín"
115,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-stefanikova/3400778316,4 200 Kč/měsíc,16 m²,1+1,"Štefánikova, Zlín"
116,https://www.sreality.cz/detail/pronajem/byt/2+kk/valasske-klobouky-valasske-klobouky-masarykovo-namesti/807256652,14 690 Kč/měsíc,52 m²,2+kk,"Masarykovo náměstí, Valašské Klobouky"
117,https://www.sreality.cz/detail/pronajem/byt/pokoj/napajedla-napajedla-masarykovo-namesti/2191180364,7 000 Kč/měsíc,16 m²,pokoje,"Masarykovo náměstí, Napajedla"
118,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-stefanikova/4156277324,17 000 Kč/měsíc,50 m²,2+kk,"Štefánikova, Zlín"
119,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-ceska/1913967180,10 000 Kč/měsíc,45 m²,2+1,"Česká, Zlín"
120,https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-mlynska/1280692812,13 000 Kč/měsíc,69 m²,2+kk,"Mlýnská, Luhačovice"
121,https://www.sreality.cz/detail/pronajem/byt/pokoj/zlin-zlin-ceska/3884372556,4 000 Kč/měsíc,89 m²,pokoje,"Česká, Zlín"
122,https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/3001537100,15 000 Kč/měsíc,93 m²,3+1,"nám. 3. května, Otrokovice"
123,https://www.sreality.cz/detail/pronajem/byt/3+1/otrokovice-otrokovice-nam-3-kvetna/2853687884,15 900 Kč/měsíc,85 m²,3+1,"nám. 3. května, Otrokovice"
124,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-malenovice-trida-svobody/4015116876,12 000 Kč/měsíc,57 m²,2+1,"třída Svobody, Zlín - Malenovice"
125,https://www.sreality.cz/detail/pronajem/byt/1+kk/zlin-louky-zadni-luhy/762040908,11 900 Kč/měsíc,36 m²,1+kk,"Zadní luhy, Zlín - Louky"
126,https://www.sreality.cz/detail/pronajem/byt/2+1/napajedla-napajedla-na-kapli/3816153676,13 000 Kč/měsíc,60 m²,2+1,"Na Kapli, Napajedla"
127,https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-/3879764556,22 000 Kč/měsíc,85 m²,2+kk,Luhačovice
128,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-nad-vyvozem/3883917900,14 000 Kč/měsíc,57 m²,2+kk,"Nad Vývozem, Zlín"
129,https://www.sreality.cz/detail/pronajem/byt/2+1/zlin-zlin-vetrna/1114169932,15 000 Kč/měsíc,54 m²,2+1,"Větrná, Zlín"
130,https://www.sreality.cz/detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,19 000 Kč/měsíc,73 m²,3+1,"Slezská, Zlín"
131,https://www.sreality.cz/detail/pronajem/byt/1+1/zlin-zlin-smetanova/20378188,13 000 Kč/měsíc,45 m²,1+1,"Smetanova, Zlín"
132,https://www.sreality.cz/detail/pronajem/byt/1+kk/luhacovice-luhacovice-/2214654540,11 000 Kč/měsíc,33 m²,1+kk,Luhačovice
133,https://www.sreality.cz/detail/pronajem/byt/2+kk/frystak-horni-ves-komenskeho/964424268,14 000 Kč/měsíc,57 m²,2+kk,"Komenského, Fryšták - Horní Ves"
134,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-/182441292,12 500 Kč/měsíc,45 m²,2+kk,Zlín - Louky
135,https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-nadrazni/532079948,23 000 Kč/měsíc,120 m²,2+kk,"Nádražní, Luhačovice"
136,https://www.sreality.cz/detail/pronajem/byt/2+kk/otrokovice-kvitkovice-pricna/156140108,13 700 Kč/měsíc,45 m²,2+kk,"Příčná, Otrokovice - Kvítkovice"
137,https://www.sreality.cz/detail/pronajem/byt/2+kk/luhacovice-luhacovice-/1743290956,Cena na vyžádání,86 m²,2+kk,Luhačovice
138,https://www.sreality.cz/detail/pronajem/byt/1+1/rackova-rackova-/1342734924,12 000 Kč/měsíc,40 m²,1+1,Racková
139,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-bartosova/1606193740,20 000 Kč/měsíc,58 m²,2+kk,"Bartošova, Zlín"
140,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-zlin-tyrsovo-nabrezi/2091799884,18 000 Kč/měsíc,49 m²,2+kk,"Tyršovo nábřeží, Zlín"
141,https://www.sreality.cz/detail/pronajem/byt/4+1/zlin-zlin-na-honech-ii/3934757452,19 000 Kč/měsíc,79 m²,4+1,"Na Honech II, Zlín"
142,https://www.sreality.cz/detail/pronajem/byt/4+kk/luhacovice-luhacovice-/826365260,39 900 Kč/měsíc,100 m²,4+kk,Luhačovice
143,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-jaroslavice-v-doline/3725157708,9 000 Kč/měsíc,40 m²,2+kk,"V Dolině, Zlín - Jaroslavice"
144,https://www.sreality.cz/detail/pronajem/byt/2+kk/zlin-louky-k-luham/1516360780,14 900 Kč/měsíc,47 m²,2+kk,"K Luhám, Zlín - Louky"
